ordem	filename	evidence_id	likelihood_local	squared_norm_local	dimensions	device	status	error	path
1	windows.jpg	3207c54eaaf2472985d6077c8c5c2d16	-919.962158	1104.773451	400	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/3207c54e-aaf2-4729-85d6-077c8c5c2d16.jpg
2	windmill.jpg	68d01e6a2fd74878ac0ac86b06596280	-1135.942261	1536.733671	400	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/68d01e6a-2fd7-4878-ac0a-c86b06596280.jpg
3	water.jpg	2d081b4e0f7041578f293d635c772294	-743.781860	752.412974	400	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/2d081b4e-0f70-4157-8f29-3d635c772294.jpg
4	stilllife.jpg	753f643590014a33b84e78340c95e271	-808.599365	882.047900	400	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/753f6435-9001-4a33-b84e-78340c95e271.jpg
5	tulip.jpg	2870ff4f982840a386128cdd47249e2b	-814.384155	893.617428	400	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/2870ff4f-9828-40a3-8612-8cdd47249e2b.jpg
6	stone.jpg	7e83f0586cb641eebceb97f9f7210230	-1097.727539	1460.304310	400	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/7e83f058-6cb6-41ee-bceb-97f9f7210230.jpg
7	statue.jpg	e524ac98fb8041de97ce207b91193fa5	-1007.905762	1280.660680	400	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/e524ac98-fb80-41de-97ce-207b91193fa5.jpg
8	shutters.jpg	edf465ee59a74771aa25bc758873699e	-1086.678101	1438.205456	400	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/edf465ee-59a7-4771-aa25-bc758873699e.jpg
9	streetart.jpg	8e592d48cb94422990fd3257b92820e8	-879.658813	1024.166755	400	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/8e592d48-cb94-4229-90fd-3257b92820e8.jpg
10	shells.jpg	2f9e9ba1751e4078b9a0fde6b262c2c5	-1037.486084	1339.821266	400	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/2f9e9ba1-751e-4078-b9a0-fde6b262c2c5.jpg
11	rotunda.jpg	34e0101c99e2448986e5c3d73a01240d	-816.949707	898.748566	400	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/34e0101c-99e2-4489-86e5-c3d73a01240d.jpg
12	selfie.jpg	a6d0fcd5fdfb473b9209ad62cb1e425e	-834.357300	933.563869	400	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/a6d0fcd5-fdfb-473b-9209-ad62cb1e425e.jpg
13	roses.jpg	12ec311d4e9e4ccc9335a8ed539be7c2	-889.013550	1042.876237	400	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/12ec311d-4e9e-4ccc-9335-a8ed539be7c2.jpg
14	reindeer.jpg	bd9679c4155b4df7bf0cb424274af9e5	-987.302490	1239.454200	400	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/bd9679c4-155b-4df7-bf0c-b424274af9e5.jpg
15	person.jpg	ae9de308e1d34606a9c5de6a6aff4dc1	-1186.577271	1638.003791	400	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/ae9de308-e1d3-4606-a9c5-de6a6aff4dc1.jpg
16	landscape.jpg	434f39551e4a4436a41a4fdf36c6b7e0	-874.632629	1014.114428	400	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/434f3955-1e4a-4436-a41a-4fdf36c6b7e0.jpg
17	graffiti.jpg	e727ac376ae54d65b3012cefdf05157a	-1055.299438	1375.447966	400	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/e727ac37-6ae5-4d65-b301-2cefdf05157a.jpg
18	pipes.jpg	f39f66391add41ddb498ce8954402c8e	-1179.651611	1624.152354	400	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/f39f6639-1add-41dd-b498-ce8954402c8e.jpg
19	horse.jpg	5b2884abe0854acc9f082859084b7ea3	-719.272461	703.394091	400	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/5b2884ab-e085-4acc-9f08-2859084b7ea3.jpg
20	flowers.jpg	8023c1db920447d0b2e53a2cb0060f6a	-985.068115	1234.985515	400	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/8023c1db-9204-47d0-b2e5-3a2cb0060f6a.jpg
21	food.jpg	b84cfd5e265347b4b0a411067b0c685d	-675.787842	616.424804	400	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/b84cfd5e-2653-47b4-b0a4-11067b0c685d.jpg
22	northernlights.jpg	c07b0e4c1b5144699328daf321329f71	-1162.688354	1590.225849	400	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/c07b0e4c-1b51-4469-9328-daf321329f71.jpg
23	men.jpg	5dc8bebf39c441f4b9ad6392ebf9aab9	-907.292847	1079.434952	400	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/5dc8bebf-39c4-41f4-b9ad-6392ebf9aab9.jpg
24	fungus.jpg	166f75c7e87a47148cf4e15342964b84	-1123.122925	1511.095089	400	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/166f75c7-e87a-4714-8cf4-e15342964b84.jpg
25	egg.jpg	45d1f3b94a1645e0994ba98c2cc8d668	-878.086060	1021.021334	400	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/45d1f3b9-4a16-45e0-994b-a98c2cc8d668.jpg
26	dessert.jpg	a2bcb2079e01493abf1c9ce0b9eac9c6	-978.817871	1222.484813	400	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/a2bcb207-9e01-493a-bf1c-9ce0b9eac9c6.jpg
27	cows.jpg	51f2ef78e1164e13a81bc5264ce8bb2e	-708.409363	681.667890	400	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/51f2ef78-e116-4e13-a81b-c5264ce8bb2e.jpg
28	crystal.jpg	a0f097898ae44ca68566ed535ab33135	-1243.280884	1751.410878	400	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/a0f09789-8ae4-4ca6-8566-ed535ab33135.jpg
29	car.jpg	7c2e5f00d97f40409dc7e4eedcb4db4d	-845.438354	955.725960	400	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/7c2e5f00-d97f-4040-9dc7-e4eedcb4db4d.jpg
30	chalk.jpg	74710ab0710a4379b310d3f354e33813	-1063.398926	1391.647109	400	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/74710ab0-710a-4379-b310-d3f354e33813.jpg
31	earth.jpg	3b3914c37ccc45e3b41ae1a1f1ede841	-1357.760498	1980.370188	400	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/3b3914c3-7ccc-45e3-b41a-e1a1f1ede841.jpg
32	bench.jpg	ea4d48976b2b48858d05befd75e02233	-757.206726	779.262610	400	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/ea4d4897-6b2b-4885-8d05-befd75e02233.jpg
