ordem	filename	evidence_id	likelihood	squared_norm	dimensions	device	status	error	path
1	windows.jpg	3207c54eaaf2472985d6077c8c5c2d16	-1295.131836	1178.774023	768	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/3207c54e-aaf2-4729-85d6-077c8c5c2d16.jpg
2	windmill.jpg	68d01e6a2fd74878ac0ac86b06596280	-1986.059204	2560.628928	768	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/68d01e6a-2fd7-4878-ac0a-c86b06596280.jpg
3	water.jpg	2d081b4e0f7041578f293d635c772294	-1164.221924	916.954217	768	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/2d081b4e-0f70-4157-8f29-3d635c772294.jpg
4	stilllife.jpg	753f643590014a33b84e78340c95e271	-1318.991943	1226.494215	768	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/753f6435-9001-4a33-b84e-78340c95e271.jpg
5	tulip.jpg	2870ff4f982840a386128cdd47249e2b	-1196.421875	981.354259	768	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/2870ff4f-9828-40a3-8612-8cdd47249e2b.jpg
6	stone.jpg	7e83f0586cb641eebceb97f9f7210230	-1554.670532	1697.851547	768	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/7e83f058-6cb6-41ee-bceb-97f9f7210230.jpg
7	statue.jpg	e524ac98fb8041de97ce207b91193fa5	-1485.153809	1558.817960	768	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/e524ac98-fb80-41de-97ce-207b91193fa5.jpg
8	shutters.jpg	edf465ee59a74771aa25bc758873699e	-1361.237427	1310.985299	768	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/edf465ee-59a7-4771-aa25-bc758873699e.jpg
9	streetart.jpg	8e592d48cb94422990fd3257b92820e8	-1749.266602	2087.043716	768	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/8e592d48-cb94-4229-90fd-3257b92820e8.jpg
10	shells.jpg	2f9e9ba1751e4078b9a0fde6b262c2c5	-1394.780762	1378.071895	768	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/2f9e9ba1-751e-4078-b9a0-fde6b262c2c5.jpg
11	rotunda.jpg	34e0101c99e2448986e5c3d73a01240d	-1208.135986	1004.782427	768	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/34e0101c-99e2-4489-86e5-c3d73a01240d.jpg
12	selfie.jpg	a6d0fcd5fdfb473b9209ad62cb1e425e	-1317.672852	1223.856316	768	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/a6d0fcd5-fdfb-473b-9209-ad62cb1e425e.jpg
13	roses.jpg	12ec311d4e9e4ccc9335a8ed539be7c2	-1232.069824	1052.650281	768	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/12ec311d-4e9e-4ccc-9335-a8ed539be7c2.jpg
14	reindeer.jpg	bd9679c4155b4df7bf0cb424274af9e5	-1224.266357	1037.043225	768	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/bd9679c4-155b-4df7-bf0c-b424274af9e5.jpg
15	person.jpg	ae9de308e1d34606a9c5de6a6aff4dc1	-2427.734863	3443.979980	768	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/ae9de308-e1d3-4606-a9c5-de6a6aff4dc1.jpg
16	landscape.jpg	434f39551e4a4436a41a4fdf36c6b7e0	-1204.448975	997.408554	768	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/434f3955-1e4a-4436-a41a-4fdf36c6b7e0.jpg
17	graffiti.jpg	e727ac376ae54d65b3012cefdf05157a	-1823.353516	2235.217569	768	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/e727ac37-6ae5-4d65-b301-2cefdf05157a.jpg
18	pipes.jpg	f39f66391add41ddb498ce8954402c8e	-1543.475708	1675.461974	768	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/f39f6639-1add-41dd-b498-ce8954402c8e.jpg
19	horse.jpg	5b2884abe0854acc9f082859084b7ea3	-1156.015991	900.542532	768	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/5b2884ab-e085-4acc-9f08-2859084b7ea3.jpg
20	flowers.jpg	8023c1db920447d0b2e53a2cb0060f6a	-1935.181274	2458.873017	768	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/8023c1db-9204-47d0-b2e5-3a2cb0060f6a.jpg
21	food.jpg	b84cfd5e265347b4b0a411067b0c685d	-1127.304443	843.119494	768	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/b84cfd5e-2653-47b4-b0a4-11067b0c685d.jpg
22	northernlights.jpg	c07b0e4c1b5144699328daf321329f71	-1395.349854	1379.210113	768	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/c07b0e4c-1b51-4469-9328-daf321329f71.jpg
23	men.jpg	5dc8bebf39c441f4b9ad6392ebf9aab9	-1358.731934	1305.974379	768	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/5dc8bebf-39c4-41f4-b9ad-6392ebf9aab9.jpg
24	fungus.jpg	166f75c7e87a47148cf4e15342964b84	-1432.863525	1454.237656	768	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/166f75c7-e87a-4714-8cf4-e15342964b84.jpg
25	egg.jpg	45d1f3b94a1645e0994ba98c2cc8d668	-1351.718750	1291.947844	768	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/45d1f3b9-4a16-45e0-994b-a98c2cc8d668.jpg
26	dessert.jpg	a2bcb2079e01493abf1c9ce0b9eac9c6	-2294.169922	3176.850435	768	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/a2bcb207-9e01-493a-bf1c-9ce0b9eac9c6.jpg
27	cows.jpg	51f2ef78e1164e13a81bc5264ce8bb2e	-1026.047119	640.604762	768	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/51f2ef78-e116-4e13-a81b-c5264ce8bb2e.jpg
28	crystal.jpg	a0f097898ae44ca68566ed535ab33135	-1655.746338	1900.003310	768	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/a0f09789-8ae4-4ca6-8566-ed535ab33135.jpg
29	car.jpg	7c2e5f00d97f40409dc7e4eedcb4db4d	-1369.676514	1327.863491	768	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/7c2e5f00-d97f-4040-9dc7-e4eedcb4db4d.jpg
30	chalk.jpg	74710ab0710a4379b310d3f354e33813	-1591.074951	1770.660419	768	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/74710ab0-710a-4379-b310-d3f354e33813.jpg
31	earth.jpg	3b3914c37ccc45e3b41ae1a1f1ede841	-1961.485352	2511.481276	768	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/3b3914c3-7ccc-45e3-b41a-e1a1f1ede841.jpg
32	bench.jpg	ea4d48976b2b48858d05befd75e02233	-1749.253418	2087.017227	768	cuda	ok		/home/bfl-pcf/VA Suite/uploads-dev/ea4d4897-6b2b-4885-8d05-befd75e02233.jpg
